timestamp,open,high,low,close,bid,ask,volume,extra_columns,regime
2022-04-09 10:00:00,42489.00593016,42489.00593016,42489.00593016,42489.00593016,42489.00593016,42489.00593016,0,[],0
2022-04-09 11:00:00,42453.9254664,42453.9254664,42453.9254664,42453.9254664,42453.9254664,42453.9254664,0,[],0
2022-04-09 12:00:00,42513.62229188,42513.62229188,42513.62229188,42513.62229188,42513.62229188,42513.62229188,0,[],0
2022-04-09 13:00:00,42466.837498,42466.837498,42466.837498,42466.837498,42466.837498,42466.837498,0,[],0
2022-04-09 14:00:00,42471.14181643,42471.14181643,42471.14181643,42471.14181643,42471.14181643,42471.14181643,0,[],0
2022-04-09 15:00:00,42275.18416263,42275.18416263,42275.18416263,42275.18416263,42275.18416263,42275.18416263,0,[],0
2022-04-09 16:00:00,42455.42142278,42455.42142278,42455.42142278,42455.42142278,42455.42142278,42455.42142278,0,[],0
2022-04-09 17:00:00,42585.69602309,42585.69602309,42585.69602309,42585.69602309,42585.69602309,42585.69602309,0,[],0
2022-04-09 18:00:00,42482.08836082,42482.08836082,42482.08836082,42482.08836082,42482.08836082,42482.08836082,0,[],0
2022-04-09 19:00:00,42524.17649886,42524.17649886,42524.17649886,42524.17649886,42524.17649886,42524.17649886,0,[],0
2022-04-09 20:00:00,42438.83875625,42438.83875625,42438.83875625,42438.83875625,42438.83875625,42438.83875625,0,[],0
2022-04-09 21:00:00,42574.93082924,42574.93082924,42574.93082924,42574.93082924,42574.93082924,42574.93082924,0,[],0
2022-04-09 22:00:00,42552.83969581,42552.83969581,42552.83969581,42552.83969581,42552.83969581,42552.83969581,0,[],0
2022-04-09 23:00:00,42771.75119548,42771.75119548,42771.75119548,42771.75119548,42771.75119548,42771.75119548,0,[],0
2022-04-10 00:00:00,42646.97747814,42646.97747814,42646.97747814,42646.97747814,42646.97747814,42646.97747814,0,[],0
2022-04-10 01:00:00,42780.321295,42780.321295,42780.321295,42780.321295,42780.321295,42780.321295,0,[],0
2022-04-10 02:00:00,42845.08947931,42845.08947931,42845.08947931,42845.08947931,42845.08947931,42845.08947931,0,[],0
2022-04-10 03:00:00,42795.65552615,42795.65552615,42795.65552615,42795.65552615,42795.65552615,42795.65552615,0,[],0
2022-04-10 04:00:00,42746.26893731,42746.26893731,42746.26893731,42746.26893731,42746.26893731,42746.26893731,0,[],0
2022-04-10 05:00:00,42669.66468062,42669.66468062,42669.66468062,42669.66468062,42669.66468062,42669.66468062,0,[],0
2022-04-10 06:00:00,42797.2788408,42797.2788408,42797.2788408,42797.2788408,42797.2788408,42797.2788408,0,[],0
2022-04-10 07:00:00,42647.31922594,42647.31922594,42647.31922594,42647.31922594,42647.31922594,42647.31922594,0,[],0
2022-04-10 08:00:00,42654.93822706,42654.93822706,42654.93822706,42654.93822706,42654.93822706,42654.93822706,0,[],0
2022-04-10 09:00:00,42533.94934419,42533.94934419,42533.94934419,42533.94934419,42533.94934419,42533.94934419,0,[],0
2022-04-10 10:00:00,42542.39306387,42542.39306387,42542.39306387,42542.39306387,42542.39306387,42542.39306387,0,[],0
2022-04-10 11:00:00,42697.39766855,42697.39766855,42697.39766855,42697.39766855,42697.39766855,42697.39766855,0,[],0
2022-04-10 12:00:00,42594.71223083,42594.71223083,42594.71223083,42594.71223083,42594.71223083,42594.71223083,0,[],0
2022-04-10 13:00:00,42589.474769,42589.474769,42589.474769,42589.474769,42589.474769,42589.474769,0,[],0
2022-04-10 14:00:00,42709.71662029,42709.71662029,42709.71662029,42709.71662029,42709.71662029,42709.71662029,0,[],0
