datetime,Frac_High_Low,ATR_14,returns,macro_index_kernel
2021-01-09 19:00:00,0.009758888977647887,561.6330348528572,0.0,6.437616529463343
2021-01-09 20:00:00,0.017994379890513498,561.6330348528572,-0.0012103646795225131,6.437616529463343
2021-01-09 21:00:00,0.007531582886337109,561.6330348528572,0.0036947968539562392,6.437616529463343
2021-01-09 22:00:00,0.01527465422407248,561.6330348528572,-0.010652911969781464,6.437616529463343
2021-01-09 23:00:00,0.01196519122026045,561.6330348528572,-0.0046360896239241445,6.437616529463343
2021-01-10 00:00:00,0.015206149560159355,561.6330348528572,0.01115502189236528,6.407680444885329
2021-01-10 01:00:00,0.024204454266023155,561.6330348528572,0.013608787864591187,6.407680444885329
2021-01-10 02:00:00,0.007820784366073578,561.6330348528572,-0.003972463893070044,6.407680444885329
2021-01-10 03:00:00,0.017976467749036697,561.6330348528572,-0.015419655682369693,6.407680444885329
2021-01-10 04:00:00,0.014052450180423818,561.6330348528572,0.00045154361452892644,6.407680444885329
2021-01-10 05:00:00,0.009831547604046583,561.6330348528572,0.0022824450079870218,6.407680444885329
2021-01-10 06:00:00,0.01881619790559853,561.6330348528572,0.011357738071790413,6.407680444885329
2021-01-10 07:00:00,0.009707665274002504,561.6330348528572,0.0012484228449114454,6.407680444885329
2021-01-10 08:00:00,0.013068517399263464,561.6330348528572,-0.003899466974856103,6.407680444885329
2021-01-10 09:00:00,0.008527741651180445,558.1385575642859,-0.0017880300660170212,6.407680444885329
2021-01-10 10:00:00,0.020382457259736725,565.214492772143,-0.008692635448618313,6.407680444885329
2021-01-10 11:00:00,0.037871880593298685,652.7701883157143,-0.03145785657326183,6.407680444885329
2021-01-10 12:00:00,0.03476251064415771,705.4374886999997,0.009632748053808093,6.407680444885329
2021-01-10 13:00:00,0.017142693261528428,719.3888462342854,0.006074911481165568,6.407680444885329
2021-01-10 14:00:00,0.01587747183288755,720.9010688392851,-0.009343911108417369,6.407680444885329
2021-01-10 15:00:00,0.02206266601796439,712.7192900928567,0.006365293329968047,6.407680444885329
2021-01-10 16:00:00,0.015912198961568924,734.8109595371425,-0.010965933876029843,6.407680444885329
2021-01-10 17:00:00,0.08433141976213857,918.5902560207136,-0.017012132685226278,6.407680444885329
2021-01-10 18:00:00,0.02886932792641385,957.5538548342853,-0.012981760342157256,6.407680444885329
2021-01-10 19:00:00,0.0396758945455739,1037.1490110128564,-0.017480917706410692,6.407680444885329
2021-01-10 20:00:00,0.07458179135309256,1182.111618911428,0.007927429414761322,6.407680444885329
2021-01-10 21:00:00,0.019487783763679583,1206.206269132857,0.009023048858061156,6.407680444885329
2021-01-10 22:00:00,0.030843278408855184,1251.734420604999,0.0103103310488597,6.407680444885329
2021-01-10 23:00:00,0.01987175967031987,1281.4271059435705,-0.007273316572319555,6.407680444885329
2021-01-11 00:00:00,0.04641629082033167,1348.520053119999,-0.024682675775580476,6.3778308407574
2021-01-11 01:00:00,0.030588362260856462,1320.3972517214274,-0.00021233503332085402,6.3778308407574
2021-01-11 02:00:00,0.03437802649967535,1314.5713877042847,-0.023671026916203486,6.3778308407574
2021-01-11 03:00:00,0.08644949006936278,1490.429523565713,-0.024953115236725165,6.3778308407574
2021-01-11 04:00:00,0.049539744281020905,1570.6686638657136,0.0025181272129075616,6.3778308407574
2021-01-11 05:00:00,0.04132251634838132,1613.3462285307137,-0.017238537542058174,6.3778308407574
2021-01-11 06:00:00,0.0692053680811266,1740.896161447857,-0.05817717541403922,6.3778308407574
2021-01-11 07:00:00,0.0687406314687364,1665.7176375942854,0.0457550798687425,6.3778308407574
2021-01-11 08:00:00,0.05196829271894653,1713.6620095385715,0.03134253135725951,6.3778308407574
2021-01-11 09:00:00,0.026111989563921783,1671.8235523428575,0.008721675732704659,6.3778308407574
2021-01-11 10:00:00,0.031751107229451014,1553.553923834286,-0.011337142854514815,6.3778308407574
2021-01-11 11:00:00,0.04110262755912631,1604.8806310928571,-0.034163102753293595,6.3778308407574
2021-01-11 12:00:00,0.05323790974659402,1650.8865061657148,0.002267816635751929,6.3778308407574
2021-01-11 13:00:00,0.05411122784535517,1728.594222241429,-0.042907711832466,6.3778308407574
2021-01-11 14:00:00,0.0874910037251743,1806.8763832214293,0.015029705534546522,6.3778308407574
2021-01-11 15:00:00,0.06947038782249604,1890.7479369192863,-0.05143507051932372,6.3778308407574
2021-01-11 16:00:00,0.06268261159377958,1940.6179880621437,0.006814553580019034,6.3778308407574
2021-01-11 17:00:00,0.09345057721201788,1928.2185790335723,0.03327877452932504,6.3778308407574
2021-01-11 18:00:00,0.029246265572045363,1871.3405615950003,-0.006990241588211932,6.3778308407574
2021-01-11 19:00:00,0.049484996529525475,1881.652814669286,-0.010457942849834034,6.3778308407574
2021-01-11 20:00:00,0.06524536973958096,1859.202944709286,0.035643721996109434,6.3778308407574
2021-01-11 21:00:00,0.04391005279509266,1802.643858656429,0.01818355991003462,6.3778308407574
2021-01-11 22:00:00,0.037418966131789265,1766.0484978035715,0.011525787878360116,6.3778308407574
2021-01-11 23:00:00,0.03662582742855051,1789.9387511007142,0.03019741684991084,6.3778308407574
2021-01-12 00:00:00,0.03529346461112063,1798.1477025657146,-0.013403136853960107,6.433433387117236
2021-01-12 01:00:00,0.045856473553586664,1808.803057643572,-0.019153542079372254,6.433433387117236
2021-01-12 02:00:00,0.02653261343961994,1743.951128307143,0.003506738632466533,6.433433387117236
2021-01-12 03:00:00,0.024477099972440908,1671.823703741429,0.017936488924438,6.433433387117236
